"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"332","25/02/2023 2:42:20 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129329400000000/"
"331","25/02/2023 2:42:00 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129329200000000/"
"331","25/02/2023 2:41:40 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129329000000000/"
"329","25/02/2023 2:41:20 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129328800000000/"
"329","25/02/2023 2:41:00 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129328600000000/"
"332","25/02/2023 2:40:40 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129328400000000/"
"330","25/02/2023 2:40:20 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129328200000000/"
"331","25/02/2023 2:40:00 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129328000000000/"
"331","25/02/2023 2:39:40 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129327800000000/"
"330","25/02/2023 2:39:20 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129327600000000/"
"332","25/02/2023 2:39:00 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129327400000000/"
"332","25/02/2023 2:38:40 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129327200000000/"
"330","25/02/2023 2:38:20 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129327000000000/"
"331","25/02/2023 2:38:00 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129326800000000/"
"331","25/02/2023 2:37:40 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129326600000000/"
"332","25/02/2023 2:37:20 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129326400000000/"
"332","25/02/2023 2:37:00 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129326200000000/"
"332","25/02/2023 2:36:40 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129326000000000/"
"330","25/02/2023 2:36:20 PM","power.power.average","watt","Current power usage","172.20.70.72","HostSystem-host-9004","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VMHost=HostSystem-host-9004/LongSample=power.power.average\\638129325800000000/"
