"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0.63","25/02/2023 2:47:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129332400000000/"
"0.65","25/02/2023 2:47:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129332200000000/"
"0.73","25/02/2023 2:46:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129332000000000/"
"0.68","25/02/2023 2:46:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129331800000000/"
"0.7","25/02/2023 2:46:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129331600000000/"
"0.75","25/02/2023 2:45:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129331400000000/"
"0.74","25/02/2023 2:45:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129331200000000/"
"0.66","25/02/2023 2:45:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129331000000000/"
"0.68","25/02/2023 2:44:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129330800000000/"
"0.67","25/02/2023 2:44:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129330600000000/"
"0.68","25/02/2023 2:44:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129330400000000/"
"0.65","25/02/2023 2:43:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129330200000000/"
"0.71","25/02/2023 2:43:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129330000000000/"
"0.68","25/02/2023 2:43:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129329800000000/"
"0.7","25/02/2023 2:42:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129329600000000/"
"0.69","25/02/2023 2:42:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129329400000000/"
"0.65","25/02/2023 2:42:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129329200000000/"
"0.72","25/02/2023 2:41:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129329000000000/"
"0.69","25/02/2023 2:41:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129328800000000/"
"0.69","25/02/2023 2:41:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129328600000000/"
"0.82","25/02/2023 2:40:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129328400000000/"
"0.63","25/02/2023 2:40:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129328200000000/"
"0.62","25/02/2023 2:40:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129328000000000/"
"0.69","25/02/2023 2:39:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129327800000000/"
"0.6","25/02/2023 2:39:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129327600000000/"
"0.64","25/02/2023 2:39:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129327400000000/"
"0.67","25/02/2023 2:38:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129327200000000/"
"0.68","25/02/2023 2:38:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129327000000000/"
"0.66","25/02/2023 2:38:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129326800000000/"
"0.63","25/02/2023 2:37:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129326600000000/"
"0.68","25/02/2023 2:37:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129326400000000/"
"0.62","25/02/2023 2:37:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129326200000000/"
"0.66","25/02/2023 2:36:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129326000000000/"
"0.64","25/02/2023 2:36:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129325800000000/"
